# name,mass,mass_error_min,mass_error_max,mass_sini,mass_sini_error_min,mass_sini_error_max,radius,radius_error_min,radius_error_max,orbital_period,orbital_period_error_min,orbital_period_error_max,semi_major_axis,semi_major_axis_error_min,semi_major_axis_error_max,eccentricity,eccentricity_error_min,eccentricity_error_max,inclination,inclination_error_min,inclination_error_max,discovered,omega,omega_error_min,omega_error_max,tperi,tperi_error_min,tperi_error_max,lambda_angle,lambda_angle_error_min,lambda_angle_error_max,log_g,detection_type,star_name,star_distance,star_distance_error_min,star_distance_error_max,star_metallicity,star_metallicity_error_min,star_metallicity_error_max,star_mass,star_mass_error_min,star_mass_error_max,star_radius,star_radius_error_min,star_radius_error_max,star_age,star_age_error_min,star_age_error_max,star_teff,star_teff_error_min,star_teff_error_max
HD 102329 c,,,,1.52,0.25,0.3,,,,1123,53,79,,,,0.209,0.202,0.231,,,,2010,21,74,165,2454736,200,569,,,,,Radial Velocity,HD 102329,158,21,21,0.3,0.03,0.03,1.95,0.14,0.14,6.3,0.1,0.1,1.6,0.4,0.4,4830,44,44
HD 102365 A b,,,,0.05,0.008,0.008,,,,122.1,0.3,0.3,0.46,0.04,0.04,0.34,0.14,0.14,,,,2011,105,22,22,2450129,11,11,,,,,Radial Velocity,HD 102365 A,9.24,0.06,0.06,-0.28,0.07,0.07,0.85,,,,,,9,3,3,5650,100,100
HD 102843 b,,,,0.3584,0.0456,0.0456,,,,3090.9,295,295,4.074,0.27,0.27,0.11,0.07,0.07,,,,2019,108.7,49.4,49.4,,,,,,,,Radial Velocity,HD 102843,62.85,0.19,0.19,,,,0.95,0.05,0.05,,,,,,,5436,69,144
HD 102956 b,,,,0.96,0.023,0.023,,,,6.4947,0.00019,0.00019,0.0807,0.0073,0.0073,0.037,0.019,0.019,,,,2010,301,33,33,2455351.45,0.64,0.64,,,,,Radial Velocity,HD 102956,126,13,13,0.19,0.04,0.04,1.68,0.11,0.11,4.4,0.1,0.1,2.3,5,5,5054,44,44
HD 103197 b,,,,0.098,0.006,0.006,,,,47.84,0.03,0.03,0.249,0.004,0.004,0,,,,,,2009,,,,,,,,,,,Radial Velocity,HD 103197,49.3,3.6,3.6,0.21,0.04,0.04,0.9,,,,,,9.1,,,5303,58,58
HD 103720 b,,,,0.62,0.025,0.025,,,,4.5557,0.0001,0.0001,0.0498,0.0008,0.0008,0.086,0.024,0.024,,,,2014,262,15,15,2455387.46,0.04,0.04,,,,,Radial Velocity,HD 103720,41.6,2.1,2.1,-0.02,0.06,0.06,0.794,0.04,0.04,0.73,0.02,0.02,3.8,3.7,3.7,5017,88,88
HD 103774 A b,,,,0.367,0.022,0.022,,,,5.8881,0.0005,0.0005,0.07,0.001,0.001,0.09,0.04,0.04,,,,2013,318,64,64,2455675.4,2,2,,,,,Radial Velocity,HD 103774 A,55,2,2,0.28,0.06,0.06,1.335,0.06,0.06,,,,1.05,0.64,0.64,6489,77,77
HD 103949 b,,,,0.0352,0.0072,0.0072,,,,120.878,0.45,0.45,0.439,0.009,0.009,0.19,0.12,0.12,,,,2019,127.74,68.3,68.3,,,,,,,,Radial Velocity,HD 103949,26.52,0.05,0.05,,,,0.77,0.04,0.04,,,,,,,4792,54,66
HD 104067 b,,,,0.186,0.014,0.014,,,,55.806,0.049,0.049,0.2643,0.0045,0.0045,0,,,,,,2009,,,,,,,,,,,Radial Velocity,HD 104067,20.8,0.04,0.04,-0.06,0.05,0.05,0.791,0.02,0.02,,,,4.33,3.99,3.99,4969,72,72
HD 10442 b,,,,2.1,0.15,0.15,,,,1043,9,9,2.335,0.014,0.014,0.11,0.06,0.06,,,,2014,,,,,,,,,,,Primary Transit,HD 10442,,,,0.11,0.03,0.03,1.56,0.09,0.09,,,,,,,5034,44,44
HD 104985 b,,,,8.3,,,,,,199.505,0.085,0.085,0.95,,,0.09,0.009,0.009,,,,2003,203.5,5.7,5.7,2451927.5,3.3,3.3,,,,,Radial Velocity,HD 104985,102,,,-0.35,,,1.6,,,10.87,0.36,0.36,2.95,0.65,0.65,4786,,
HD 106252 b,32.86,25.3,39.46,7.56,,,,,,1600,18,18,2.7,,,0.47,0.028,0.028,166.7,160.2,7.3,2002,292.2,3.2,3.2,51871,17,17,,,,,Radial Velocity,HD 106252,37.44,,,-0.078,,,0.96,,,1.09,,,5.02,,,5754,,
HD 106270 b,,,,11,0.8,0.8,,,,2890,390,390,4.3,0.4,0.4,0.402,0.054,0.054,,,,2011,15.4,0.4,0.4,2454830,390,390,,,,,Radial Velocity,HD 106270,84.9,5.7,5.7,0.08,0.03,0.03,1.32,0.092,0.092,2.5,0.1,0.1,4.3,0.6,0.6,5638,44,44
HD 106315 b,0.03964,0.01007,0.01007,,,,0.218,0.015,0.015,9.55237,0.00089,0.00089,0.0907,0.001,0.001,0.093,0.068,0.11,87.54,0.32,0.32,2017,239,200,74,,,,,,,,Primary Transit,HD 106315,109,5,5,-0.311,0.079,0.079,1.09,0.04,0.04,1.3,0.06,0.06,4.48,-0.96,0.96,6327,48,48
HD 106315 c,0.04782,0.01164,0.01164,,,,0.388,0.021,0.021,21.05704,0.00046,0.00046,0.1536,0.0017,0.0017,0.22,0.15,0.15,88.61,0.25,0.7,2017,96,35,88,,,,,,,,Primary Transit,HD 106315,109,5,5,-0.311,0.079,0.079,1.09,0.04,0.04,1.3,0.06,0.06,4.48,-0.96,0.96,6327,48,48
HD 10647 b,,,,0.93,0.18,0.18,,,,1003,56,56,2.03,0.15,0.15,0.1,0.01,0.01,,,,2003,108.9,8.2,8.2,2453654,99,99,,,,,Radial Velocity,HD 10647,17.3,,,-0.078,,,1.1,,,1.1,,,4.8,2.2,2.2,6039,,
HD 106515 A b,,,,9.61,0.14,0.14,,,,3630,14.2,14.2,4.59,0.01,0.01,0.572,0.011,0.011,,,,2011,123.8,2.5,2.5,2451844,27,27,,,,,Radial Velocity,HD 106515 A,35.2,1,1,0.01,,,0.91,0.03,0.03,,,,6,2,2,5232,,
HD 106574 b,,,,8.5,1.1,1.1,,,,1065.7,14.6,14.6,2.2,0.1,0.1,0.03,0.03,0.03,,,,2018,44.66,122.15,122.15,2455585,360,360,,,,,Radial Velocity,HD 106574,143,6,6,-0.43,0.04,0.04,1.2,0.1,0.1,17.1,0.9,0.9,4.6,1.3,1.3,4501,33,33
HD 106906 (AB) b,11,2,2,,,,,,,,,,850,260,560,,,,56,21,12,2013,,,,,,,,,,,Imaging,HD 106906 (AB),92,6,6,0.04,0.02,0.01,1.5,0.1,0.1,,,,0.013,0.002,0.002,6798,40,20
HD 10697 b,6.837,0.532,2.637,6.383,0.078,0.078,1.152,,,1075.69,0.82,0.82,2.14,0.088,0.088,0.1043,0.0083,0.0083,69,26,26,2000,114.9,6,6,2451492,17,17,,,,,Radial Velocity,HD 10697,32.56,0.88,0.88,0.1,0.06,0.06,1.13,0.03,0.03,1.79,0.17,0.17,6.9,0.6,0.6,5600,80,80
HD 107148 b,,,,0.21,0.036,0.036,,,,48.056,0.057,0.057,0.269,0.016,0.016,0.05,0.17,0.17,,,,2006,75,,,2439969,12,12,,,,,Radial Velocity,HD 107148,51.3,2.6,2.6,0.314,,,1.12,,,,,,5.6,,,5797,,
HD 107148 c,,,,0.0626,0.0098,0.0098,,,,18.3267,0.0024,0.0024,0.1406,0.0018,0.0018,0.34,0.16,0.13,,,,2021,315.5,24,38,,,,,,,,Radial Velocity,HD 107148,51.3,2.6,2.6,0.314,,,1.12,,,,,,5.6,,,5797,,
HD 108147 b,,,,0.261,0.04,0.04,,,,10.8985,0.0045,0.0045,0.102,0.06,0.06,0.53,0.12,0.12,,,,2002,308,24,24,2450828.86,0.71,0.71,,,,,Radial Velocity,HD 108147,38.57,,,0.18,,,1.19,,,1.22,,,1.98,,,6067,,
HD 108236 f,,,,,,,0.17995,0.00509,0.00464,29.54115,0.00042,0.00033,0.1758,0.0038,0.0041,0.051,0.034,0.036,88.963,0.042,0.042,2020,275,63,45,,,,,,,,Primary Transit,HD108236,64.6,0.2,0.2,-0.3,0.5,0.5,0.853,0.047,0.047,0.894,0.022,0.022,5.8,4.1,4.1,5720,50,50
HD 108341 A b,,,,3.5,3.4,1.2,,,,1129,6,8,2,0.04,0.04,0.85,0.09,0.09,,,,2014,56.7,4,4,2456633,33,88,,,,,Radial Velocity,HD 108341 A,49.4,2.3,2.3,0.04,0.06,0.06,0.843,0.024,0.024,0.79,0.03,0.03,4.9,4.1,4.1,5122,79,79
HD 108863 b,,,,2.6,0.2,0.2,,,,443.4,4.2,4.2,1.4,0.03,0.03,0.1, , ,,,,2011,177,60,60,2455516,70,70,,,,,Radial Velocity,HD 108863,139,15,15,0.2,0.03,0.03,1.85,0.13,0.13,5.6,0.1,0.1,1.8,0.4,0.4,4956,44,44
HD 108874 b,,,,1.36,0.13,0.13,,,,395.4,2.5,2.5,1.051,0.02,0.02,0.07,0.04,0.04,,,,2003,248.4,36,36,60131.5,60,60,,,,,Radial Velocity,HD 108874,68.5,,,0.14,,,1,,,1.22,,,7.26,,,5407,,
HD 108874 c,,,,1.018,0.3,0.3,,,,1605.8,88,88,2.68,0.25,0.25,0.25,0.07,0.07,,,,2005,17.3,23,23,14584.8,180,180,,,,,Radial Velocity,HD 108874,68.5,,,0.14,,,1,,,1.22,,,7.26,,,5407,,
HD 109246 b,,,,0.77,0.09,0.09,,,,68.27,0.13,0.13,0.33,0.08,0.08,0.12,0.04,0.04,,,,2010,235,29,29,54824.6,4.7,4.7,,,,,Radial Velocity,HD 109246,65.6,3,3,0.1,,,1.01,0.11,0.11,1.02,0.07,0.07,,,,5844,21,21
HD 109271 b,,,,0.054,0.004,0.004,,,,7.8543,0.0009,0.0009,0.079,0.001,0.001,0.25,0.08,0.08,,,,2013,296,20,20,2455719.1,3.6,3.6,,,,,Radial Velocity,HD 109271,62,3,3,0.1,0.05,0.05,1.047,0.024,0.024,,,,7.3,1.2,1.2,5783,62,62
HD 109271 c,,,,0.076,0.007,0.007,,,,30.93,0.02,0.02,0.196,0.003,0.003,0.15,0.09,0.09,,,,2013,4,120,120,2455733,8,8,,,,,Radial Velocity,HD 109271,62,3,3,0.1,0.05,0.05,1.047,0.024,0.024,,,,7.3,1.2,1.2,5783,62,62
HD 109749 b,,,,0.28,0.016,0.016,0.99,,,5.23921,0.000935533,0.000935533,0.0635,,,0.0451,0.025,0.451,,,,2005,72.3,55.8,55.8,2453426.3,,,,,,,Radial Velocity,HD 109749,59,,,0.25,0.05,0.05,1.2,0.1,0.1,,,,10.3,2.9,2.9,5610,,
HD 110014 b,,,,11.09,1,1,,,,835.477,6.04,6.04,2.14,0.03,0.03,0.462,0.069,0.069,,,,2009,290.6,3.8,3.8,2451796.9065,5.1,5.1,,,,,Radial Velocity,HD 110014,90,2.3,2.3,0.19,0.05,0.05,2.17,0.28,0.28,20.9,1.1,1.1,0.95,0.4,0.4,4445,70,70
HD 110014 c,,,,3.1,0.4,0.4,,,,130,0.9,0.9,0.64,0.003,0.003,0.44,0.2,0.2,,,,2015,,,,,,,,,,,Radial Velocity,HD 110014,90,2.3,2.3,0.19,0.05,0.05,2.17,0.28,0.28,20.9,1.1,1.1,0.95,0.4,0.4,4445,70,70
HD 110113 b,4.55,0.62,0.62,,,,0.1829,0.0107,0.0107,2.541,0.001,0.0005,0.035,0.001,0.001,0.093,0.064,0.079,,,,2021,331,39,39,,,,,,,,Primary Transit,HD 110113,106.3,0.72,0.72,,,,0.997,0.06,0.06,0.968,0.018,0.018,,,,5732,50,50
HD 110113 c,,,,0.033,0.0038,0.0038,,,,6.744,0.009,0.009,0.068,0.002,0.001,0.045,0.038,0.079,,,,2021,300,70,70,,,,,,,,Radial Velocity,HD 110113,106.3,0.72,0.72,,,,0.997,0.06,0.06,0.968,0.018,0.018,,,,5732,50,50
HD 111232 b,,,,6.8,,,,,,1143,14,14,1.97,,,0.2,0.01,0.01,,,,2004,98,6,6,51230,20,20,,,,,Radial Velocity,HD 111232,29,,,-0.36,0.04,0.04,0.78,,,,,,5.2,,,5494,,
HD 111591 b,,,,4.4,0.4,0.4,,,,1056.4,14.3,14.3,2.5,0.1,0.1,0.26,0.1,0.1,,,,2017,78.72,12,12,2455602.4,31,31,,,,,Radial Velocity,HD 111591,108,5,5,0.07,0.04,0.04,1.94,0.07,0.07,8.03,0.49,0.49,1.41,0.14,0.14,4884,30,30
HD 11231 b,,,,0.434,0.047,0.041,,,,5.2049,0.002,0.002,0.0664,0.005,0.005,0.083,0.083,0,,,,2019,,,,2457286.78871,,,,,,,Radial Velocity,HD 11231,134,4,4,,,,1.44,0.03,0.03,1.78,0.09,0.09,2,0.3,0.3,6500,100,100
HD 112640 b,,,,5,1,1,,,,613.2,5.8,5.8,1.7,0.1,0.1,0.24,0.18,0.18,,,,2020,114.4,22.8,22.8,2455300.4,38.8,38.8,,,,,Radial Velocity,HD 112640,326.8,2,2,-0.09,0.07,0.07,1.8,0.2,0.2,39,5,5,1.6,0.3,0.3,4155,15,15
HD 113337 b,,,,3.1,0.2,0.2,,,,323.4,0.8,0.8,1.03,0.02,0.02,0.36,0.03,0.03,,,,2013,229.1,4.9,4.9,2456074.5,2.3,2.3,,,,,Radial Velocity,HD 113337,36.9,0.4,0.4,0.07,,,1.4,0.14,0.14,1.5,0.15,0.15,0.15,0.05,0.1,6577,16,16
HD 113337 c,,,,7.2,0.5,0.5,,,,3264.7,134,134,4.8,0.23,0.23,0.18,0.04,0.04,,,,2018,314,13,13,2458236.8,217,217,,,,,Radial Velocity,HD 113337,36.9,0.4,0.4,0.07,,,1.4,0.14,0.14,1.5,0.15,0.15,0.15,0.05,0.1,6577,16,16
HD 113538 b,,,,0.36,0.04,0.04,,,,663.2,8.4,7.4,1.24,0.04,0.04,0.14,0.08,0.08,,,,2010,74,37,29,2455500,17,17,,,,,Radial Velocity,HD 113538,15.8,0.4,0.4,-0.24,0.06,0.06,0.585,0.05,0.05,0.53,0.02,0.02,4.3,4,4,4462,145,145
HD 113538 c,,,,0.93,0.06,0.06,,,,1818,25,25,2.44,0.07,0.07,0.2,0.04,0.04,,,,2010,280,16,16,2456741,31,31,,,,,Radial Velocity,HD 113538,15.8,0.4,0.4,-0.24,0.06,0.06,0.585,0.05,0.05,0.53,0.02,0.02,4.3,4,4,4462,145,145
HD 113996 b,,,,6.3,1,1,,,,610.2,3.8,3.8,1.6,0.1,0.1,0.28,0.12,0.12,,,,2017,92.06,17.25,17.25,2455602.4,24,24,,,,,Radial Velocity,HD 113996,102,2.5,2.5,0.13,0.08,0.08,1.49,0.18,0.18,25.11,1.2,1.2,3.24,1.2,1.2,4181,40,40
HD 114386 b,,,,1.24,,,,,,937,15.6,15.6,1.02,,,0.23,0.03,0.03,,,,2003,273,14,14,50454,43,43,,,,,Radial Velocity,HD 114386,28,,,0,,,0.75,,,0.76,,,2.19,,,4819,,
HD 114386 c,,,,1.19,,,,,,1046,,,,,,0.06,,,,,,2011,,,,,,,,,,,Radial Velocity,HD 114386,28,,,0,,,0.75,,,0.76,,,2.19,,,4819,,
HD 114613 b,,,,0.357,0.032,0.032,1.182,,,4000,120,120,5.34,0.26,0.26,0.458,0.089,0.089,,,,2014,196,11,11,2455150,90,90,,,,,Radial Velocity,HD 114613,20.67,0.13,0.13,0.18,,,1.27,,,2.14,,,,,,5641,17,17
HD 114729 A b,,,,0.84,,,,,,1135,9,9,2.08,,,0.32,0.18,0.18,,,,2002,73,30,30,2450520,67,67,,,,,Radial Velocity,HD 114729 A,35,,,-0.22,,,0.93,,,1.46,,,4.58,,,5662,,
HD 114783 b,6.3,2.97,26.9,1.1,0.06,0.06,,,,493.7,1.8,1.8,1.16,0.019,0.019,0.144,0.032,0.032,10,8,8,2001,86,11,11,2453806,14,14,,,,,Radial Velocity,HD 114783,20.4,,,0.33,,,0.92,,,0.78,,,3.7,,,5105,,
HD 114783 c,,,,0.61,0.0053,0.0056,,,,4318,130,150,,,,0,,,,,,2010,6.5,44,38,2458112,537,422,,,,,Radial Velocity,HD 114783,20.4,,,0.33,,,0.92,,,0.78,,,3.7,,,5105,,
HD 11506 b,,,,4.83,0.52,0.52,,,,1622.1,2.1,2.1,2.9,0.12,0.12,0.3743,0.0053,0.0053,,,,2007,220.16,0.97,0.97,2463391.8,0.14,0.14,,,,,Radial Velocity,HD 11506,51.261,0.14,0.14,0.31,0.1,0.1,1.24,0.18,0.18,1.34,0.05,0.05,2.3,0.58,0.58,6030,,
HD 11506 c,,,,0.408,0.057,0.057,,,,223.41,0.32,0.32,0.774,0.038,0.038,0.193,0.038,0.038,,,,2009,259,16,16,2463230,11,11,,,,,Radial Velocity,HD 11506,51.261,0.14,0.14,0.31,0.1,0.1,1.24,0.18,0.18,1.34,0.05,0.05,2.3,0.58,0.58,6030,,
HD 1160 b,20,,,,,,,,,,,,80,0,0,,,,,,,2012,,,,,,,,,,,Imaging,HD 1160,103.5,4,4,-0.3,,,,,,,,,0.05,0.04,0.04,,,
HD 116029 A b,,,,2.1,0.2,0.2,,,,670.2,8.3,8.3,1.73,0.04,0.04,0.21,,,,,,2011,360,100,100,2455220,200,200,,,,,Radial Velocity,HD 116029 A,123.2,9.9,9.9,0.18,0.03,0.03,1.58,0.11,0.11,4.6,0.1,0.1,2.7,0.5,0.5,4951,44,44
HD 116029 A c,,,,1.27,0.1,0.1,,,,907,30,30,,,,0.038,0.038,0.127,,,,2010,17.3,49.7,167,1455291,86,114,,,,,Radial Velocity,HD 116029 A,123.2,9.9,9.9,0.18,0.03,0.03,1.58,0.11,0.11,4.6,0.1,0.1,2.7,0.5,0.5,4951,44,44
HD 117207 b,,,,2.06,,,,,,2627.08,63.51,63.51,3.78,,,0.16,0.05,0.05,,,,2004,81.7,19.9,19.9,2450666.43,148.89,148.89,,,,,Radial Velocity,HD 117207,33,,,0.27,,,1.07,,,1.09,,,6.68,2.2,2.2,5432,,
HD 11755 b,,,,6.5,1,1,,,,433.7,3.2,3.2,1.08,0.04,0.04,0.19,0.1,0.1,,,,2015,155.3,12.6,12.6,2457018.2,14,14,,,,,Radial Velocity,HD 11755,231.5,,,-0.74,0.02,0.02,0.9,0.1,0.1,27.3,1,1,10.2,1.3,1.3,4312.5,5,5
HD 117618 b,,,,0.174,0.014,0.014,,,,25.8,0.004,0.004,0.18,0.005,0.005,0.15,0.07,0.07,,,,2004,289,64,64,2450832.2,1.8,1.8,,,,,Radial Velocity,HD 117618,38,,,0.04,,,1.05,,,1.19,,,3.88,,,5861,,
HD 118203 b,2.173,0.08,0.08,,,,1.133,0.03,0.03,6.13498,3.8E-05,3.8E-05,0.07082,0.0011,0.00095,0.316,0.021,0.021,88.75,1,0.86,2005,153.6,3.6,3.6,2458707.116,0.048,0.048,,,,,Radial Velocity,HD 118203,88.6,,,0.1,0.05,0.05,1.23,0.03,0.03,,,,4.6,0.8,0.8,5600,150,150
HD 118865 B,55,13,13,,,,,,,,,,9200,,,,,,,,,2013,,,,,,,,,,,Imaging,HD 118865 A,,,,,,,,,,,,,3.2,1.7,1.7,,,
HD 118904 b,,,,3.1,1.2,1.2,,,,676.7,19.1,19.1,1.7,0.1,0.1,0.31,0.3,0.3,,,,2018,29.16,31.02,31.02,2455478,82,82,,,,,Radial Velocity,HD 118904,111,9,9,-0.11,0.09,0.09,1.4,0.2,0.2,14.8,1.3,1.3,3.7,1.6,1.6,4469,23,23
HD 119445 b,,,,37.6,2.6,2.6,,,,410.2,0.6,0.6,1.71,0.06,0.06,0.082,0.007,0.007,,,,2009,,,,,,,,,,,Radial Velocity,HD 119445,,,,0.04,0.18,0.18,3.9,0.4,0.4,20.5,9.3,9.3,,,,5083,103,103
HD 11964 b,,,,0.622,0.056,0.056,,,,1945,26,26,3.16,0.19,0.19,0.041,0.017,0.017,,,,2005,155,,,2454170,380,380,,,,,Radial Velocity,HD 11964,33.98,,,0.17,,,1.125,,,2.18,0.29,0.29,9.56,,,5248,,
HD 11964 c,,,,0.079,0.01,0.01,,,,37.91,0.041,0.041,0.229,0.013,0.013,0.3,0.17,0.17,,,,2005,102,,,2454370,180,180,,,,,Radial Velocity,HD 11964,33.98,,,0.17,,,1.125,,,2.18,0.29,0.29,9.56,,,5248,,
HD 11977 b,,,,6.29,0.7,0.7,,,,711,8,8,1.89,0.11,0.1,0.4,0.07,0.07,,,,2005,351.5,9.5,9.5,2451420,,,,,,,Radial Velocity,HD 11977,66.5,2.1,2.1,-0.21,0.1,0.1,1.91,0.21,0.21,13,,,1.25,0.75,0.75,4975,,
HD 120084 b,,,,4.5,,,,,,2082,35,24,4.3,,,0.66,0.1,0.14,,,,2013,117,9,12,2450774,61,80,,,,,Radial Velocity,HD 120084,97.7,4.7,4.7,0.09,0.05,0.05,2.39,0.3,0.06,9.12,0.61,0.65,,,,4892,22,22
HD 121504 b,,,,1.22,,,,,,63.33,0.03,0.03,0.33,,,0.03,0.01,0.01,,,,2003,265,12,12,51450,2,2,,,,,Radial Velocity,HD 121504,44.37,,,0.16,,,1.18,,,,,,1.62,,,6075,,
HD 122562 b,,,,24,2,2,,,,2777,81,104,4.1,0.2,0.2,0.71,0.01,0.01,,,,2016,306.1,1.3,1.3,2455935,2,2,,,,,Radial Velocity,HD 122562,53.8,,,0.31,0.04,0.04,1.13,0.13,0.13,,,,,,,4958,67,67
HD 124330 b,,,,0.75,0.06,0.06,,,,270.66,1.21,1.21,0.86,0.04,0.04,0.34,0.05,0.05,,,,2021,18.28,10.44,10.44,2458415.57,3.06,3.06,,,,,Radial Velocity,HD 124330,60.3,0.03,0.03,,,,,,,,,,,,,,,
HD 12484 b,,,,2.98,0.14,0.14,,,,58.83,0.08,0.08,0.297,0.005,0.005,0.07,0.03,0.03,,,,2016,325,40,40,2456699,5,5,,,,,Radial Velocity,HD 12484,51.1,2.5,2.5,0.05,0.02,0.02,1.01,0.03,0.03,,,,,,,5920,30,30
HD 125390 b,,,,22.16,0.96,0.96,1.08,,,1756.2,3.9,3.9,1.55,0.14,0.14,0.591,0.014,0.014,,,,2018,342.4,1.2,1.2,2455914,6.7,6.7,,,,,Radial Velocity,HD 125390,154.3,,,,,,1.36,,,6.17,,,,,,4850,,
HD 125595 b,,,,0.042,0.004,0.004,,,,9.6737,0.0039,0.0039,0.0809,0.0014,0.0014,0,,,,,,2009,,,,,,,,,,,Radial Velocity,HD 125595,27.4,0.9,0.9,0.02,0.06,0.06,0.756,0.017,0.017,,,,3.53,3.53,3.53,4908,,
HD 125612 b,,,,3,,,,,,502,14,14,1.37,,,0.46,0.01,0.01,,,,2007,41.5,1.7,1.7,54894.9,2.5,2.5,,,,,Radial Velocity,HD 125612,52.82,,,0.24,0.03,0.03,1.1,0.07,0.07,1.05,0.08,0.08,2.1,,,5897,40,40
HD 125612 c,,,,0.058,,,,,,4.1547,0.0005,0.0005,0.05,,,0.27,0.12,0.12,,,,2009,103,23,23,54420.17,0.23,0.23,,,,,Radial Velocity,HD 125612,52.82,,,0.24,0.03,0.03,1.1,0.07,0.07,1.05,0.08,0.08,2.1,,,5897,40,40
HD 125612 d,,,,7.2,,,,,,3008,202,202,4.2,,,0.28,0.12,0.12,,,,2009,284,8,8,57174,17,17,,,,,Radial Velocity,HD 125612,52.82,,,0.24,0.03,0.03,1.1,0.07,0.07,1.05,0.08,0.08,2.1,,,5897,40,40
HD 126053 B,35,15,15,,,,0.9,0.1,0.1,,,,2630,,,,,,,,,2012,,,,,,,,,,5,Imaging,HD 126053 A,17.4385,0.011,0.011,-0.38,0.06,0.06,0.87,0.07,0.07,,,,8.5,6,6,5750,100,100
HD 12648 b,,,,2.9,0.4,0.4,,,,133.6,0.5,0.5,0.54,0.02,0.02,0.04,0.16,0.16,,,,2015,99.3,140.7,140.7,2452324.7,57.6,57.6,,,,,Radial Velocity,HD 12648,158.4,9,9,-0.57,0.02,0.02,1.2,0.1,0.1,9.2,0.6,0.6,4.5,1,1,4835.8,7.5,7.5
HD 126525 b,,,,0.224,0.0182,0.0182,,,,948.12,21.966,21.966,1.8105,0.0411,0.0411,0.13,0.07,0.07,,,,2011,,,,,,,,,,,Radial Velocity,HD 126525,38.1,1,1,,,,,,,,,,,,,,,
HD 12661 b,,,,2.3,,,,,,263.6,1.2,1.2,0.83,,,0.377,0.008,0.008,,,,2000,296,1.5,1.5,2454152.76,0.87,0.87,,,,,Radial Velocity,HD 12661,37.16,,,0.29,0.05,0.05,1.07,,,1.12,,,7.05,,,5742,,
HD 12661 c,,,,1.57,,,,,,1708,14,14,2.56,,,0.031,0.022,0.022,,,,2002,165,,,2446153.76,87,87,,,,,Radial Velocity,HD 12661,37.16,,,0.29,0.05,0.05,1.07,,,1.12,,,7.05,,,5742,,
HD 126614 A b,,,,0.38,0.04,0.04,,,,1244,17,17,2.35,0.02,0.02,0.41,0.1,0.1,,,,2010,243,19,19,2453808,52,52,,,,,Radial Velocity,HD 126614 A,72.4,5.3,5.3,0.56,0.04,0.04,1.145,0.03,0.03,1.09,0.06,0.06,7.2,2,2,5585,44,44
HD 128311 b,,,,2.18,0.022,0.022,,,,448.6,6.8,6.8,1.099,0.04,0.04,0.25,0.1,0.1,,,,2002,110.9,36,36,2450210.9,76,76,,,,,Radial Velocity,HD 128311,16.6,,,0.08,,,0.84,,,0.73,,,0.39,,,4965,,
HD 128311 c,4.19,0.83,1.27,3.21,0.3,0.3,,,,919,,,1.76,0.13,0.13,0.17,0.09,0.09,50,10,10,2005,195.5,150,150,2450012.2,401,401,,,,,Radial Velocity,HD 128311,16.6,,,0.08,,,0.84,,,0.73,,,0.39,,,4965,,
HD 128356 b,,,,0.89,0.07,0.07,,,,298.2,1.6,1.6,0.87,0.03,0.03,0.57,0.08,0.08,,,,2016,84,4.6,4.6,,,,,,,,Radial Velocity,HD 128356,26.03,0.52,0.52,0.17,0.1,0.1,0.65,0.05,0.05,0.85,0.02,0.02,10,5,5,4875,100,100
HD 129445 b,,,,1.6,0.6,0.6,,,,1840,55,55,2.9,0.2,0.2,0.7,0.1,0.1,,,,2010,163,15,15,2453093,50,50,,,,,Radial Velocity,HD 129445,67.61,5.1,5.1,0.25,,,0.99,,,,,,,,,,,
HD 130322 b,1.05,0.03,0.77,1.02,,,,,,10.72,0.07,0.07,0.088,,,0.044,0.018,0.018,76,42,42,1999,203.63,23.14,23.14,51287.38,0.68,0.68,,,,,Radial Velocity,HD 130322,30,,,-0.02,,,0.79,,,0.83,,,0.35,,,5330,,
HD 131496 b,,,,2.2,0.2,0.2,,,,883,29,29,2.09,0.07,0.07,0.163,0.073,0.073,,,,2011,22,40,40,2456040,100,100,,,,,Radial Velocity,HD 131496,110,9.4,9.4,0.25,0.03,0.03,1.61,0.11,0.11,4.6,0.1,0.1,2.7,0.5,0.5,4927,44,44
HD 13167 b,,,,3.31,0.16,0.16,1.167,,,2613,17,17,4.1,0.43,0.43,0.563,0.033,0.033,,,,2018,265,6,6,2462162,54,54,,,,,Radial Velocity,HD 13167,149.6,,,,,,1.35,,,2.39,,,,,,5671,,
HD 13189 b,,,,14,6,6,,,,471.6,6,6,1.85,0.35,0.35,0.27,0.06,0.06,,,,2005,160.7,12,12,2455327.9,20.2,20.2,,,,,Radial Velocity,HD 13189,185,,,,,,4.5,2.5,2.5,50.39,20.51,20.51,,,,,,
HD 132406 b,,,,5.61,,,,,,974,39,39,1.98,,,0.34,0.09,0.09,,,,2007,214,19,19,53474,44,44,,,,,Radial Velocity,HD 132406,71,3.5,3.5,0.18,0.05,0.05,1.09,0.05,0.05,,,,6.4,0.8,0.8,5885,50,50
HD 132563 B b,,,,1.49,0.09,0.09,,,,1544,34,34,2.62,0.04,0.04,0.22,0.09,0.09,,,,2011,158,35,35,2452593,148,148,,,,,Radial Velocity,HD 132563B,96,13,13,-0.19,0.1,0.1,1.01,0.01,0.01,,,,5,,,5985,100,100
